,TT_Den_dot_dot,TT_Alv_dot_dot,TB_Pal_dot_dot,TB_Vel_dot_dot,TB_Pha_dot_dot,LPRO_dot_dot,LA_dot_dot,jaw,tongue,shape,apex,lip_ht,lip_pr,jaw_dot,tongue_dot,shape_dot,apex_dot,lip_ht_dot,lip_pr_dot,jaw_dot_dot predicted,tongue_dot_dot predicted,shape_dot_dot predicted,apex_dot_dot predicted,lip_ht_dot_dot predicted,lip_pr_dot_dot predicted,jaw_dot_dot,tongue_dot_dot,shape_dot_dot,apex_dot_dot,lip_ht_dot_dot,lip_pr_dot_dot,loss
483,17896.234721752968,17003.969224473964,16284.006461708741,7857.704817535946,-4541.633667672542,-22302.436828613314,2890.3484344482777,-0.6275827884674072,0.11380670964717865,-1.5500594377517698,-2.1070091724395748,-0.4137596786022186,-0.6803805828094482,3.009295463562012,-5.790352821350098,14.943599700927713,12.271738052368164,22.836551070213307,-0.916057825088501,-745.9297,760.71875,-447.3047,-2092.6016,-2344.1172,134.30469,-900.8556604385376,579.0352821350098,-607.7206134796143,-2315.0372505187947,-2283.655107021331,91.6057825088501,6.218218e-07
484,134409.00408991752,99670.89372588543,54335.38073144689,57441.19096466443,29034.516320017847,354787.6358032227,-42286.396026611386,-0.3898706436157226,1.4689723253250122,-0.5070629715919495,0.682559609413147,-1.1181316375732415,1.265889644622803,0.0,-19.62937116622927,21.456199884414684,-0.02824068069458008,0.0,-19.286048412322952,-20136.562,-9202.492,-263.21094,-15453.742,31094.125,4351.742,-19917.962551116943,-8940.311670303341,-505.3669214248668,-15647.048950195312,30967.62418746948,4208.947420120232,1.1728495e-06
485,-1898.436936679175,282.2844076993647,8837.164705707466,15133.021439912949,-5089.699175612702,-15001.392364501882,1235.1751327514294,-2.1277799606323238,1.7702349424362185,0.9358246922492982,-0.8171719312667846,3.3448112010955806,2.5492937564849854,0.0,18.745088577270508,22.739094495773305,-3.2051622867584233,17.345118522644047,0.0,-1466.1641,-309.28906,-1906.1094,1380.1094,-1751.5625,-5.3828125,-1873.91996383667,-497.75004386902083,-2273.9094495773306,1368.788480758667,-1734.5118522644045,0.0,1.6235939e-06
486,9162.289236845249,9611.23191025969,10282.662532307682,-5454.568680130762,-9264.092436603305,-2589.893341064444,3535.175323486328,-0.5562837719917297,-0.1696280688047409,-1.0688893795013428,-1.7217452526092527,-0.9710896015167234,0.21914304792881006,-15.89699387550354,0.0,-15.950846672058105,-1.6890883445739746,0.0,0.0,1377.3438,2086.539,798.1328,-447.1953,-106.0,889.72656,1589.699387550354,2131.829969584942,574.6173858642577,-719.151496887207,0.0,815.8324658870697,8.476313e-07
487,-12883.498577554828,-6581.3032874051905,3774.513415836438,8872.677701504763,-3.121503406013914,21785.16387939453,2594.757080078054,-1.582270264625549,0.8633379936218258,0.3008281588554382,2.3716695308685307,-0.9456412792205809,2.1643941402435303,-8.305597305297871,0.0,23.34473729133605,0.0,-32.11523294448853,-1.0215044021606443,813.7969,-8.296875,-1393.6172,704.5,2154.8125,1695.6016,830.5597305297873,0.0,-1797.4787950515731,113.19160461425336,2222.9433059692387,1655.871868133545,2.15041e-06
488,-24339.151085645557,-29142.942631525337,-40409.94642369,3125.540084387017,29908.458347817264,-19096.755981445345,-2078.6762237549538,1.0546953678131104,2.1439039707183842,1.9583700895309444,-3.263796329498291,1.6320284605026243,2.2215681076049805,-19.32060718536378,9.98210906982422,0.0,14.326858520507812,-8.828914165496869,17.3672199249268,2008.6172,-3039.0078,353.8828,-191.09375,-1624.3438,-1725.5312,1932.0607185363779,-3114.0875816345238,0.0,-465.6815528869673,-1532.261371612542,-1736.72199249268,9.845247e-07
489,4108.316543222942,-1636.1921809465762,-7674.35687212071,4906.4674100769425,17848.754081514428,-18662.357330322247,-3704.5478820800695,-1.401282787322998,-2.3403580188751216,-0.5170297026634216,-1.2523947954177856,-0.2618338465690613,-1.783132553100586,0.0,14.832687377929688,0.0,22.324597835540747,19.889868050813675,8.9039087295532,-925.65625,-2309.125,378.90625,-1883.3281,-1994.4219,-1751.7109,-1252.5558471679688,-2519.1164016723674,0.0,-2225.0318527221657,-1988.9868050813675,-1823.2941627502398,1.8804916e-06
490,83524.72907178006,-33118.778845034554,-152585.65908953847,57969.45565300912,209059.0346106218,-124656.3911437989,17861.187458038294,0.0582469068467617,2.694793224334717,-0.7686688303947448,3.32590126991272,1.129113793373108,2.5528440475463867,0.0,5.939245223999068,0.0,23.15495014190674,19.564014673233046,0.0,-24448.86,-34698.684,6152.5938,-19849.086,-15737.242,3715.8125,-22015.28843492269,-34154.233336448684,5622.652918100355,-20796.57316207886,-15421.851575374605,3281.3191413879395,3.6970974e-05
491,-26196.406158541733,-14897.381220395228,1658.675738541433,14829.48949689444,-1.82456515542242,3334.236145019497,5114.078521728445,-1.5357810258865356,-0.7479158639907839,-3.041579246520996,-2.637402296066284,1.307759404182434,0.5251160860061646,-10.84500551223757,16.96508526802065,14.814615249633787,21.44458293914795,14.857137203216553,-16.046947240829457,2032.3125,94.625,-3201.4219,538.15625,601.3125,1581.4375,1370.1784610748311,-287.22286224365394,-3541.355133056641,655.0908088684034,534.7859859466574,1604.6947240829456,3.499258e-06
492,13263.398430578874,14177.782630778991,24832.78752443937,12538.844564635363,-4247.033524709458,9169.292449951065,-8842.968940734847,-1.1266063451766968,2.9450104236602783,1.0980402231216428,-3.460524082183837,0.5758931040763855,-1.759129643440246,9.5536470413208,0.0,0.0,23.4519004821776,0.0,24.57915544509897,-113.64844,754.5547,-1374.1719,-2605.5469,778.09375,-2344.1875,91.50147438049316,782.0272445678668,-1731.2794923782349,-2661.981582641588,895.2271938323975,-2457.9155445098963,9.551933e-07
493,-106497.75369171893,-87411.6074878184,-4667.004016184109,193913.54392447023,140916.2773802776,18840.98052978528,71445.05977630612,-1.1714329719543457,2.1358962059021,2.113588571548461,2.427597999572753,-0.2927761971950531,-1.751093506813049,-60.4050278663635,182.14340806007385,277.0787417888641,231.58950060606003,-1.1890918016433771,-231.5545916557312,4532.8438,-18584.316,-26550.102,-22928.188,2695.4766,23077.305,4436.56206130981,-18575.683236122124,-26822.614073753346,-23158.950060606006,2504.506446421147,23155.45916557312,8.628378e-07
494,10922.820909754342,13650.109754828944,13604.220124164958,6168.702006853515,-10990.240330131444,7794.475555419851,-9210.681915283238,-1.7959214448928833,-0.17330634593963626,-0.2753500938415528,1.934028387069702,-0.3808119595050812,3.1474552154541007,17.43783950805664,-19.720537960529327,0.0,1.4305114746093528,0.0,22.42662906646737,-2772.1719,328.64062,-321.34375,1154.7031,248.46875,-2196.8047,-2905.024290084835,278.9734303951264,-639.501810073852,748.2004165649413,294.1325306892395,-2242.662906646737,1.2309349e-06
495,3116.033743769044,5101.002094754002,7836.0777692756055,-7730.615438129611,-9499.48435158376,10510.063171386824,-8564.138412475551,2.4386785030364986,2.4434607028961186,-2.089465379714966,-1.5553904771804803,1.0740045309066772,1.2012524604797363,-20.54574489593501,-21.94604873657222,-4.127764701843262,0.0,7.281827926635742,0.0,2255.4219,2294.1094,760.1328,527.6797,1291.3281,-2525.125,2054.5744895935013,2194.604873657222,412.7764701843262,0.0,1331.3019275665285,-2567.933201789857,1.9047575e-06
496,-17836.08712224623,-19928.111991264464,-22423.78068566548,-1646.1234689976575,13564.318026942849,-2209.949493408194,7949.066162109358,0.7877406477928158,1.7324234247207642,0.9435685276985168,-1.4135042428970337,-0.565970778465271,-0.8617246150970459,0.0,0.0,-2.045816183090221,-8.389890193939186,0.0,-26.18911862373351,1679.0859,-1295.2656,339.9922,1044.7109,-45.664062,2298.0547,1356.465220451357,-1441.6909217834473,204.5816183090221,877.3076534271217,0.0,2279.213070869445,8.287746e-07
497,2172.0983151256946,1237.598122626943,-4303.482092527631,-9393.526304818919,-4456.220202335642,-8613.491058349626,-6635.689735412598,-0.12554672360420227,0.570279836654663,-0.1465139538049698,-2.705312013626098,-0.3685205280780792,-0.9429889321327208,14.187818765640259,21.73821330070497,6.837865710258483,-23.417019844055176,14.577886462211596,0.0,-1063.4141,311.57812,1734.9062,2324.7656,-1074.3359,-2306.6016,-1418.7818765640259,53.7812709808339,1536.832004785538,2039.5755767822266,-1049.588620662688,-2312.4855756759634,1.4500624e-06
498,7726.207403937566,5972.751016015714,-228.763074263707,-15143.833898381126,-7344.319150996199,6194.019317626953,-1343.3933258056466,1.1802557706832884,-0.6014484763145448,0.03759827464818954,-1.773477554321289,2.733104467391968,0.7062605619430542,0.0,-16.179853677749623,-12.337438017129896,0.0,-9.244155883789016,0.0,2043.3359,2224.3281,2324.3984,452.20312,849.1875,-338.14062,2104.148864746096,2238.0590438842764,2023.5406607389448,0.0,924.4155883789018,-441.5512084960926,1.3110918e-06
499,8579.861194228399,8303.316684694159,1656.9145699051194,-570.942394728778,-10075.579141902055,26257.80105590813,-661.7069244384767,2.0392725467681885,3.6866571903228773,2.404138326644897,3.838392734527588,0.6506437063217164,0.5851429104804993,8.371329307556199,-6.1577558517455175,-13.164663314819293,0.0,-5.66444993019104,-11.392754316329956,-621.90625,1102.6484,1654.8984,1847.0469,2288.8828,1058.9297,-1747.0002174377485,615.7755851745518,1316.466331481929,1750.326156616211,2249.205708503723,1139.2754316329954,8.025283e-06
500,12617.348237377788,7462.121303992842,-10020.032778102459,-8717.191665952341,4942.559728415646,20043.754577636828,-2255.4397583007635,-1.6375406980514524,-1.933387756347656,0.11833757162094115,-1.6261310577392578,1.2778005599975586,-0.6089399456977844,20.219635963439924,0.0,-10.350607335567476,20.00136375427246,-14.977002143859865,-4.9116551876068,-2082.2188,-819.71875,2734.586,480.85156,1537.2812,508.27344,-2734.14611816406,-1125.5812644958473,2541.4068996906285,378.62777709961154,1497.7002143859866,491.16551876068,2.785122e-06
501,-11305.174959440052,-8197.68816085869,2276.41198934883,-3611.4891420535146,-10556.884037884302,-4612.159729003869,2055.1443099975586,-0.9335521459579471,2.1327993869781494,1.55977201461792,-2.306823253631592,0.6038686633110047,1.4250602722167969,-14.017397165298496,-13.789725303649902,10.425794124603273,0.0,-15.124952793121345,0.0,3328.3594,2209.625,-836.6328,2004.9531,0.640625,64.75,3533.459901809699,2254.421710968013,-1042.5794124603274,1734.9457740783691,109.96043682098335,0.0,7.932493e-07
